id;street_address;postal_code;city;state_province;email;phone_number
1;nitrify infill;unimpressively;Gilroy;nor why;Kevon.Zemlak80@yahoo.com;"0550706251"
2;midst bright usefully;whenever even blaring;Jimmyfurt;helplessly out;Margie95@gmail.com;"0608647099"
3;zowie brush bowl;archeology unless;Fort Brionna;um;Mireya61@hotmail.com;"0859248149"
4;greatly provided scientific;excepting ugh sublimate;Ezekielfort;cheerfully beside;Lysanne79@hotmail.com;"0018358238"
5;athwart;yowza readmit shear;North Vernon;antique potentially;Zoie.Marvin@hotmail.com;"0951248851"
6;so pfft;yum mediocre prickly;Austenboro;which harbour versus;Hallie.Powlowski@gmail.com;"0447863879"
7;ah closely;if jumpsuit;Berkeley;fluid even;Carolanne.Morar78@gmail.com;"0452070280"
8;um daring awesome;afore;South Jace;wield ack wonderfully;Chadd_Effertz-Leffler@gmail.com;"0004295859"
9;eek;broadly mmm;West Emanuelview;funnel how;Nels_Bradtke@hotmail.com;"0934903918"
10;hatred;between;Fort Juvenalport;embark;Cleve_Fay@hotmail.com;"0941866508"
